date,statistic,value,station_count,station_ids,source_files,source_rows,row_count
2022-11-04,min,2.08,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,25; 24; 251,3
2022-11-05,max,6.31,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,26; 25; 252,3
2022-11-05,mean,4.283,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,26; 25; 252,3
2022-11-05,min,3.2,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,26; 25; 252,3
2022-11-06,max,17.8,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,27; 26; 253,3
2022-11-06,mean,8.869,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,27; 26; 253,3
2022-11-06,min,3.96,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,27; 26; 253,3
2022-11-07,max,26.82,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,28; 27; 254,3
2022-11-07,mean,17.786,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,28; 27; 254,3
2022-11-07,min,13.02,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,28; 27; 254,3
2022-11-08,max,19.87,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,29; 28; 255,3
2022-11-08,mean,13.526,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,29; 28; 255,3
2022-11-08,min,7.87,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,29; 28; 255,3
2022-11-09,max,20.12,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,30; 29; 256,3
2022-11-09,mean,13.489,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,30; 29; 256,3
2022-11-09,min,8.29,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,30; 29; 256,3
2022-11-10,max,28.02,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,31; 30; 257,3
2022-11-10,mean,16.357,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,31; 30; 257,3
2022-11-10,min,13.95,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,31; 30; 257,3
2022-11-11,max,21.71,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,32; 31; 258,3
2022-11-11,mean,14.898,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,32; 31; 258,3
2022-11-11,min,11.33,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,32; 31; 258,3
2022-11-12,max,13.95,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,33; 32; 259,3
2022-11-12,mean,11.752,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,33; 32; 259,3
2022-11-12,min,10.06,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,33; 32; 259,3
2022-11-13,max,16.93,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,34; 33; 260,3
