run_id,station_id,station_name,model,model_family,model_identifier,model_version,origin_date,target_date,horizon,context_start,context_end,context_length_used,y_true,y_true_observed,y_pred,q10,q50,q90,target_is_direct_observation,target_is_imputed,target_imputation_method,target_is_iqr_outlier,target_is_outlier_removed,prediction_source,training_site,evaluation_site
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-04-07,2024-04-14,7,2022-08-22,2024-04-07,595,0.356,0.356,1.1136356592178345,0.5031740665435791,1.1136356592178345,1.788761854171753,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-04-07,2024-04-21,14,2022-08-22,2024-04-07,595,1.569,1.569,1.194138526916504,0.2669841051101684,1.194138526916504,2.2845866680145264,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-04-07,2024-05-05,28,2022-08-22,2024-04-07,595,0.731,0.731,1.356437921524048,0.1469024419784546,1.356437921524048,2.890322685241699,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-04-21,2024-04-22,1,2022-08-22,2024-04-21,609,1.508,1.508,1.6334527730941772,1.2578740119934082,1.6334527730941772,2.0390119552612305,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-04-21,2024-04-28,7,2022-08-22,2024-04-21,609,0.698,0.698,1.695678472518921,0.6753203868865967,1.695678472518921,2.9417126178741455,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-04-21,2024-05-05,14,2022-08-22,2024-04-21,609,0.731,0.731,1.6088439226150513,0.3546823263168335,1.6088439226150513,3.2414026260375977,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-04-21,2024-05-19,28,2022-08-22,2024-04-21,609,0.8421150233629702,,1.4701999425888062,0.08236825466156,1.4701999425888062,3.2120437622070312,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-05-05,2024-05-06,1,2022-08-22,2024-05-05,623,0.802,0.802,0.8467930555343628,0.7016439437866211,0.8467930555343628,1.0501642227172852,True,False,observed,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-05-05,2024-05-12,7,2022-08-22,2024-05-05,623,1.1162654759460522,,0.8750642538070679,0.5312572717666626,0.8750642538070679,1.3757472038269043,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-05-05,2024-05-19,14,2022-08-22,2024-05-05,623,0.8421150233629702,,0.8462076187133789,0.4319322109222412,0.8462076187133789,1.446077823638916,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-05-05,2024-06-02,28,2022-08-22,2024-05-05,623,0.9414417557499888,,1.0380264520645142,0.4874167442321777,1.0380264520645142,1.843807578086853,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-05-19,2024-05-20,1,2022-08-22,2024-05-19,637,0.8343801585533606,,0.8025391101837158,0.6772741079330444,0.8025391101837158,0.9406933784484864,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-05-19,2024-05-26,7,2022-08-22,2024-05-19,637,0.7909136694601437,,0.7680529356002808,0.309499979019165,0.7680529356002808,1.3604094982147217,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-05-19,2024-06-02,14,2022-08-22,2024-05-19,637,0.9414417557499888,,0.800888180732727,0.0780060291290283,0.800888180732727,1.7538702487945557,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-05-19,2024-06-16,28,2022-08-22,2024-05-19,637,0.9510952870239848,,1.0779600143432615,-0.0647115707397461,1.0779600143432615,2.464397668838501,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-02,2024-06-03,1,2022-08-22,2024-06-02,651,0.9721989655177592,,0.9785667061805724,0.9116443395614624,0.9785667061805724,1.061427116394043,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-02,2024-06-09,7,2022-08-22,2024-06-02,651,0.9337816135370316,,1.1092321872711182,0.7799735069274902,1.1092321872711182,1.653619408607483,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-02,2024-06-16,14,2022-08-22,2024-06-02,651,0.9510952870239848,,1.2920526266098022,0.7103190422058105,1.2920526266098022,2.273019313812256,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-02,2024-06-30,28,2022-08-22,2024-06-02,651,0.8669137253751495,,1.568629503250122,0.7442976236343384,1.568629503250122,3.03249454498291,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-16,2024-06-17,1,2022-08-22,2024-06-16,665,0.9023188281553508,,0.8695957660675049,0.7762824296951294,0.8695957660675049,0.964749813079834,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-16,2024-06-23,7,2022-08-22,2024-06-16,665,0.8498762765185655,,0.8464149832725525,0.4922566413879394,0.8464149832725525,1.2719008922576904,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-16,2024-06-30,14,2022-08-22,2024-06-16,665,0.8669137253751495,,0.9252515435218812,0.3107789754867553,0.9252515435218812,1.670968532562256,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-16,2024-07-14,28,2022-08-22,2024-06-16,665,1.0213374230810437,,1.0330042839050293,0.050105333328247,1.0330042839050293,2.1701431274414062,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-30,2024-07-01,1,2022-08-22,2024-06-30,679,0.903173294797992,,0.9141726493835448,0.8535374402999878,0.9141726493835448,0.9758830666542052,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-30,2024-07-07,7,2022-08-22,2024-06-30,679,1.0384524427805084,,1.0272202491760254,0.7195324897766113,1.0272202491760254,1.4562757015228271,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-30,2024-07-14,14,2022-08-22,2024-06-30,679,1.0213374230810437,,1.091468334197998,0.5740101337432861,1.091468334197998,1.8490240573883057,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-06-30,2024-07-28,28,2022-08-22,2024-06-30,679,0.9321919294806824,,1.1288518905639648,0.4354983568191528,1.1288518905639648,2.2557966709136963,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-07-14,2024-07-15,1,2022-08-22,2024-07-14,693,1.0384338578515,,0.9607139825820924,0.8824290633201599,0.9607139825820924,1.0599243640899658,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-07-14,2024-07-21,7,2022-08-22,2024-07-14,693,0.9552857935676412,,1.032294988632202,0.7561962604522705,1.032294988632202,1.4994382858276367,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-07-14,2024-07-28,14,2022-08-22,2024-07-14,693,0.9321919294806824,,1.0802751779556274,0.6460233926773071,1.0802751779556274,1.9051963090896609,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-07-14,2024-08-11,28,2022-08-22,2024-07-14,693,1.028925254409339,,1.13737154006958,0.444850206375122,1.13737154006958,2.382347822189331,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-07-28,2024-07-29,1,2022-08-22,2024-07-28,707,0.9380946030662354,,0.967744529247284,0.9065002202987672,0.967744529247284,1.046663761138916,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-07-28,2024-08-04,7,2022-08-22,2024-07-28,707,0.8939985214519526,,0.9914499521255492,0.7330805063247681,0.9914499521255492,1.3635905981063845,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-07-28,2024-08-11,14,2022-08-22,2024-07-28,707,1.028925254409339,,1.0244100093841553,0.6225254535675049,1.0244100093841553,1.6287699937820437,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-07-28,2024-08-25,28,2022-08-22,2024-07-28,707,0.9787517836183504,,1.0829609632492063,0.5386381149291992,1.0829609632492063,1.980642795562744,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-08-11,2024-08-12,1,2022-08-22,2024-08-11,721,0.956632932562277,,1.010400414466858,0.9713279008865356,1.010400414466858,1.0808058977127075,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-08-11,2024-08-18,7,2022-08-22,2024-08-11,721,1.036725022674532,,1.0243632793426514,0.8614078760147095,1.0243632793426514,1.340003252029419,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-08-11,2024-08-25,14,2022-08-22,2024-08-11,721,0.9787517836183504,,1.04718279838562,0.8166377544403076,1.04718279838562,1.5419657230377195,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-08-11,2024-09-08,28,2022-08-22,2024-08-11,721,1.3917638384160294,,1.0634291172027588,0.7565609216690063,1.0634291172027588,1.823444128036499,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-08-25,2024-08-26,1,2022-08-22,2024-08-25,735,1.0534119708288912,,1.0341825485229492,0.9716418981552124,1.0341825485229492,1.1105942726135254,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-08-25,2024-09-01,7,2022-08-22,2024-08-25,735,1.223079660842462,,1.0567477941513062,0.8036811351776123,1.0567477941513062,1.3951863050460815,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-08-25,2024-09-08,14,2022-08-22,2024-08-25,735,1.3917638384160294,,1.0761995315551758,0.6999043226242065,1.0761995315551758,1.6164361238479614,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-08-25,2024-09-22,28,2022-08-22,2024-08-25,735,1.201235525550675,,1.1236679553985596,0.6376512050628662,1.1236679553985596,1.924555778503418,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-09-08,2024-09-09,1,2022-08-22,2024-09-08,749,1.3657638192602544,,1.408262848854065,1.27754545211792,1.408262848854065,1.5471587181091309,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-09-08,2024-09-15,7,2022-08-22,2024-09-08,749,1.3798248313140729,,1.4107470512390137,0.9665497541427612,1.4107470512390137,2.007291793823242,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-09-08,2024-09-22,14,2022-08-22,2024-09-08,749,1.201235525550675,,1.333788275718689,0.8172839879989624,1.333788275718689,2.155651330947876,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
foundation_20260531T161849Z,la_poza,La Poza,TimesFM,timesfm,google/timesfm-2.0-500m-pytorch,1.3.0,2024-09-08,2024-10-06,28,2022-08-22,2024-09-08,749,1.6446427163369362,,1.273131251335144,0.7161049842834473,1.273131251335144,2.3484866619110107,False,True,historical_seasonal_harmonic_analog_residual,False,False,foundation_model_runtime,la_poza,la_poza
